"Markettype","Trdwnt","Cwretmdos"
"117","2000-29","0.024437"
"127","2000-29","0.024962"
"33","2000-29","0.029040"
"20","2000-29","0.019796"
"5","2000-30","0.002531"
"10","2000-30","0.008839"
"15","2000-30","0.002711"
"21","2000-30","0.002531"
"31","2000-30","0.002711"
"37","2000-30","0.002531"
"47","2000-30","0.002711"
"53","2000-30","0.002531"
"63","2000-30","0.002711"
"69","2000-30","0.002531"
"79","2000-30","0.002711"
"85","2000-30","0.002531"
"95","2000-30","0.002711"
"101","2000-30","0.002531"
"111","2000-30","0.002711"
"117","2000-30","0.002531"
"127","2000-30","0.002711"
"33","2000-30","0.003587"
"20","2000-30","0.001455"
"5","2000-31","0.009458"
"10","2000-31","0.039524"
"15","2000-31","0.010313"
"21","2000-31","0.009458"
"31","2000-31","0.010313"
"37","2000-31","0.009458"
"47","2000-31","0.010313"
"53","2000-31","0.009458"
"63","2000-31","0.010313"
"69","2000-31","0.009458"
"79","2000-31","0.010313"
"85","2000-31","0.009458"
"95","2000-31","0.010313"
"101","2000-31","0.009458"
"111","2000-31","0.010313"
"117","2000-31","0.009458"
"127","2000-31","0.010313"
"33","2000-31","0.009182"
"20","2000-31","0.009740"
"5","2000-32","0.006198"
"10","2000-32","0.049522"
"15","2000-32","0.007478"
"21","2000-32","0.006198"
"31","2000-32","0.007478"
"37","2000-32","0.006198"
"47","2000-32","0.007478"
"53","2000-32","0.006198"
"63","2000-32","0.007478"
"69","2000-32","0.006198"
"79","2000-32","0.007478"
"85","2000-32","0.006198"
"95","2000-32","0.007478"
"101","2000-32","0.006198"
"111","2000-32","0.007478"
"117","2000-32","0.006198"
"127","2000-32","0.007478"
"33","2000-32","0.006729"
"20","2000-32","0.005655"
"5","2000-33","0.017372"
"10","2000-33","0.068254"
"15","2000-33","0.018929"
"21","2000-33","0.017372"
"31","2000-33","0.018929"
"37","2000-33","0.017372"
"47","2000-33","0.018929"
"53","2000-33","0.017372"
"63","2000-33","0.018929"
"69","2000-33","0.017372"
"79","2000-33","0.018929"
"85","2000-33","0.017372"
"95","2000-33","0.018929"
"101","2000-33","0.017372"
"111","2000-33","0.018929"
"117","2000-33","0.017372"
"127","2000-33","0.018929"
"33","2000-33","0.019740"
"20","2000-33","0.014953"
"5","2000-34","0.009809"
"10","2000-34","0.078877"
"15","2000-34","0.012005"
"21","2000-34","0.009809"
"31","2000-34","0.012005"
"37","2000-34","0.009809"
"47","2000-34","0.012005"
"53","2000-34","0.009809"
"63","2000-34","0.012005"
"69","2000-34","0.009809"
"79","2000-34","0.012005"
"85","2000-34","0.009809"
"95","2000-34","0.012005"
"101","2000-34","0.009809"
"111","2000-34","0.012005"
"117","2000-34","0.009809"
"127","2000-34","0.012005"
"33","2000-34","0.011766"
"20","2000-34","0.007795"
"5","2000-35","-0.002964"
"10","2000-35","-0.042045"
"15","2000-35","-0.004285"
"21","2000-35","-0.002964"
"31","2000-35","-0.004285"
"37","2000-35","-0.002964"
"47","2000-35","-0.004285"
"53","2000-35","-0.002964"
"63","2000-35","-0.004285"
"69","2000-35","-0.002964"
"79","2000-35","-0.004285"
"85","2000-35","-0.002964"
"95","2000-35","-0.004285"
"101","2000-35","-0.002964"
"111","2000-35","-0.004285"
"117","2000-35","-0.002964"
"127","2000-35","-0.004285"
"33","2000-35","-0.001621"
"20","2000-35","-0.004354"
"5","2000-36","-0.037873"
"10","2000-36","-0.090383"
"15","2000-36","-0.039578"
"21","2000-36","-0.037873"
"31","2000-36","-0.039578"
"37","2000-36","-0.037873"
"47","2000-36","-0.039578"
"53","2000-36","-0.037873"
"63","2000-36","-0.039578"
"69","2000-36","-0.037873"
"79","2000-36","-0.039578"
"85","2000-36","-0.037873"
"95","2000-36","-0.039578"
"101","2000-36","-0.037873"
"111","2000-36","-0.039578"
"117","2000-36","-0.037873"
"127","2000-36","-0.039578"
"33","2000-36","-0.039115"
"20","2000-36","-0.036585"
"5","2000-37","-0.014677"
"10","2000-37","0.058066"
"15","2000-37","-0.012452"
"21","2000-37","-0.014677"
"31","2000-37","-0.012452"
"37","2000-37","-0.014677"
"47","2000-37","-0.012452"
"53","2000-37","-0.014677"
"63","2000-37","-0.012452"
"69","2000-37","-0.014677"
"79","2000-37","-0.012452"
"85","2000-37","-0.014677"
"95","2000-37","-0.012452"
"101","2000-37","-0.014677"
"111","2000-37","-0.012452"
"117","2000-37","-0.014677"
"127","2000-37","-0.012452"
"33","2000-37","-0.018816"
"20","2000-37","-0.010378"
"5","2000-38","0.012416"
"10","2000-38","-0.018083"
"15","2000-38","0.011423"
"21","2000-38","0.012416"
"31","2000-38","0.011423"
"37","2000-38","0.012416"
"47","2000-38","0.011423"
"53","2000-38","0.012416"
"63","2000-38","0.011423"
"69","2000-38","0.012416"
"79","2000-38","0.011423"
"85","2000-38","0.012416"
"95","2000-38","0.011423"
"101","2000-38","0.012416"
"111","2000-38","0.011423"
"117","2000-38","0.012416"
"127","2000-38","0.011423"
"33","2000-38","0.009808"
"20","2000-38","0.015101"
"5","2000-39","-0.044265"
"10","2000-39","-0.127235"
"15","2000-39","-0.046904"
"21","2000-39","-0.044265"
"31","2000-39","-0.046904"
"37","2000-39","-0.044265"
"47","2000-39","-0.046904"
"53","2000-39","-0.044265"
"63","2000-39","-0.046904"
"69","2000-39","-0.044265"
